County,FIPS,TYPE,e-2,b-2,d-2,e-5,b-5,d-5,e-10,b-10,d-10,e-25,b-25,d-25,e-50,b-50,d-50,e-100,b-100,d-100,e-1000,b-1000,d-1000
POLK-Zone-2,48373,SSQ,0.805046213,61.28924996,12.35594298,0.782956077,74.1850363,12.19736475,0.769608752,83.65723768,12.11314101,0.753943915,95.7576238,12.03968585,0.741669075,103.7057339,11.89453882,0.730924135,112.5765853,11.9597634,0.719145806,144.5020193,13.54198159
POLK-Zone-3,48373,SSQ,0.805431524,62.12534358,12.33746671,0.778795939,74.23319584,12.206937,0.76210093,82.69630824,12.08750011,0.74215009,93.02773968,11.94044955,0.726345021,99.16363629,11.69959854,0.711975606,105.9151291,11.67065192,0.693779307,132.625499,13.23600423
POTTER-Zone-1,48375,SSQ,0.819559019,39.07050813,8.894757157,0.825172616,55.23337476,9.370542034,0.829418296,68.47190827,9.739079544,0.835678684,87.89008149,10.29282701,0.841079576,104.2693749,10.7738989,0.846966993,122.9705602,11.32538508,0.860030109,176.0796476,12.68429818
PRESIDIO-Zone-1,48377,SSQ,0.839330734,32.32850999,7.57507427,0.834179968,42.0516705,7.115772286,0.832060381,49.44919006,6.881968025,0.830515719,59.23794243,6.629768626,0.829604601,66.39534559,6.401258047,0.829805096,74.08305811,6.307245936,0.835456594,96.74938203,6.8674097
PRESIDIO-Zone-2,48377,SSQ,0.830738711,34.30776815,7.975962803,0.832402844,46.50057146,7.575060511,0.832257195,55.31168514,7.316449615,0.830682095,66.17774029,6.965078478,0.827988267,73.29432211,6.618942606,0.826341555,80.78796995,6.402679393,0.830247803,104.1780859,6.706958872
PRESIDIO-Zone-3,48377,SSQ,0.832146632,35.81075161,8.263347357,0.833807769,48.74625098,7.77000105,0.833215382,57.97503896,7.451792431,0.830594777,69.15006214,7.022348583,0.826927524,76.35470101,6.623896151,0.82398673,83.68543919,6.339500673,0.823924654,105.3432338,6.394023327
RAINS-Zone-1,48379,SSQ,0.784043573,48.88562792,10.72214806,0.777584233,61.39096407,11.10226204,0.774046872,70.84522708,11.37815837,0.770183192,83.28864104,11.77248739,0.768044101,92.76549998,12.11368162,0.765300604,102.0628969,12.47912658,0.754795715,121.9413269,13.23058762
RANDALL-Zone-1,48381,SSQ,0.825280236,42.12216489,9.556519181,0.822626496,55.58993167,9.592050529,0.822908562,66.72150229,9.694952804,0.825364351,83.11065156,9.91529769,0.829051259,97.40325083,10.15417873,0.832570973,112.8249641,10.40399778,0.835528837,148.5552485,10.82448585
REAGAN-Zone-1,48383,SSQ,0.851274521,50.92332784,11.76205601,0.834786882,63.25433994,11.09909414,0.824220362,71.78537553,10.70014845,0.810641519,81.70578804,10.219563,0.800094087,87.92554086,9.839179765,0.788961181,93.35476425,9.488990945,0.76448799,105.6430387,8.960161227
REAL-Zone-1,48385,SSQ,0.826627445,59.78353377,12.54351313,0.804624147,72.79834385,12.21327652,0.790669577,81.80684238,12.06618897,0.773237184,92.34909703,11.97287937,0.759801786,98.92980746,11.9068844,0.745985047,104.7578368,11.95272156,0.71768987,118.9578737,12.65424728
REAL-Zone-2,48385,SSQ,0.826041376,62.02546716,12.90738355,0.803276767,76.09087327,12.43741031,0.789521357,86.51883459,12.35850758,0.773221146,99.86643229,12.49400618,0.761497686,109.6221909,12.75477035,0.749177359,118.7977123,13.1361269,0.721399524,138.4895447,14.20559004
REAL-Zone-3,48385,SSQ,0.825364811,63.00832777,13.04496855,0.803084494,77.90358697,12.49751232,0.790310873,89.69837021,12.52872687,0.775921203,105.8541909,12.92737939,0.766393953,119.012472,13.53934599,0.756376495,132.1852014,14.32763699,0.732022214,159.6788383,16.05853635
RED RIVER-Zone-1,48387,SSQ,0.769228428,45.02941172,9.916672512,0.763166244,55.54680576,9.906029501,0.76017497,63.65682939,9.939042323,0.757459854,74.62518114,10.02956565,0.756276268,83.19051317,10.10799187,0.755011069,91.85438892,10.25305278,0.75047628,111.747191,10.84883189
REEVES-Zone-1,48389,SSQ,0.852849235,38.51684464,9.094662896,0.847338639,53.07123362,8.825590768,0.842498845,63.36005991,8.597864283,0.835010513,75.82467098,8.257044171,0.828334026,84.1594073,7.935778118,0.821348119,91.94055896,7.651940551,0.807640791,110.2072655,7.335684395
REFUGIO-Zone-1,48391,SSQ,0.831645513,75.79216889,14.855743,0.793976715,82.556104,13.87882586,0.774143366,88.73674267,13.40713585,0.753163467,97.19507732,12.94278027,0.739032145,103.1468789,12.56415856,0.726223126,109.379372,12.38085291,0.704490177,128.1248895,13.10161885
ROBERTS-Zone-1,48393,SSQ,0.821785931,41.51131399,9.548997506,0.829528438,59.10261615,10.09429914,0.833887876,72.98059351,10.36719275,0.838846626,92.29488825,10.63442794,0.842539165,107.7756556,10.79653852,0.845736433,124.1204254,10.92545886,0.849859218,164.2831921,11.10166867
ROBERTSON-Zone-1,48395,SSQ,0.812192777,57.00846443,11.90178153,0.795664807,69.11671869,11.93754974,0.785376744,77.84088787,11.96172513,0.772705527,88.57298592,11.99668734,0.763067802,95.72174498,11.98405145,0.753391236,102.6852482,12.04698346,0.73427264,121.3524332,12.703996
ROCKWALL-Zone-1,48397,SSQ,0.785160423,48.16675673,10.48467618,0.776221089,59.77423721,10.66157574,0.770913881,68.37882899,10.80010027,0.764573786,79.38918937,11.01433245,0.760271511,87.4080714,11.19702361,0.755410215,95.14863432,11.41558558,0.741481977,112.238712,11.98209845
RUNNELS-Zone-1,48399,SSQ,0.808000515,44.57227338,9.856344367,0.800217792,57.81573137,9.858532646,0.795709824,67.91319559,9.952706441,0.790407006,81.35692243,10.17477384,0.787210842,91.80940385,10.41665756,0.782866599,102.0452004,10.71236456,0.766334405,122.8448075,11.35708518
RUSK-Zone-1,48401,SSQ,0.793047557,51.20918117,11.04784461,0.783873792,64.82015881,11.27007213,0.778046038,75.16812966,11.4674275,0.770877965,88.96322694,11.77862012,0.764614779,98.79020748,11.95392201,0.760087863,110.1981612,12.3971665,0.762468275,151.2113618,15.07648036
SABINE-Zone-1,48403,SSQ,0.796411831,57.71059366,11.90116422,0.77366077,66.59218466,11.65769535,0.760924162,73.61827354,11.54827527,0.747032247,83.11215599,11.45420467,0.738171723,90.56213318,11.35203444,0.728873343,97.62856044,11.37180835,0.705318155,111.5317226,12.02385164
SAN AUGUSTINE-Zone-1,48405,SSQ,0.802503002,59.57443876,12.37637422,0.784905899,71.34846039,12.2205829,0.774136499,80.0269215,12.15734481,0.76127571,91.06611263,12.12518114,0.751632948,98.72074933,12.06121878,0.742310431,106.4470997,12.14541335,0.72553344,127.7287406,13.21074221
SAN JACINTO-Zone-1,48407,SSQ,0.802404142,58.51875889,12.00274719,0.782708843,72.96264765,12.10727204,0.770857057,83.81763191,12.24927607,0.75704708,98.12951711,12.51772125,0.746253699,108.1482281,12.67041997,0.736964166,119.4769491,13.11191103,0.728509608,159.4700149,15.94642438
SAN JACINTO-Zone-2,48407,SSQ,0.806357374,62.1253501,12.48005068,0.778810376,74.73524941,12.43417254,0.761827683,83.72608247,12.4390724,0.741791047,94.93761567,12.51935166,0.725787398,101.67802,12.46482096,0.711888649,109.6198017,12.74775615,0.699404068,144.6916446,15.88432957
SAN JACINTO-Zone-3,48407,SSQ,0.806581861,63.51501939,12.66769129,0.774982658,74.88130858,12.44624629,0.755423079,82.82009693,12.34151628,0.73238267,92.50780667,12.29927447,0.713640836,97.66861532,12.11120233,0.697932922,104.3939842,12.3450415,0.687875195,140.7290739,16.12129301
SAN PATRICIO-Zone-1,48409,SSQ,0.828659305,71.34180065,14.06389811,0.793930099,80.11183662,13.26222969,0.775670117,87.57216881,12.92735054,0.756346898,97.69804155,12.66895539,0.743184491,104.8377242,12.47088532,0.731380604,112.5824456,12.49396245,0.71282567,137.3810991,13.82757698
SAN SABA-Zone-1,48411,SSQ,0.813457342,48.47763073,10.56362114,0.803948431,62.35210481,10.62023792,0.798102718,72.9878311,10.7874673,0.791018412,87.26363287,11.14114365,0.785679687,98.02003879,11.47049661,0.780628407,109.6281799,11.98723799,0.77262711,143.046997,14.00022249
SCHLEICHER-Zone-1,48413,SSQ,0.831897268,49.86997606,10.76545588,0.814916298,60.6348774,10.42052814,0.804520596,68.29192775,10.19756239,0.791735633,77.50480707,9.912257615,0.78292781,83.99324859,9.652420371,0.772270203,89.09995937,9.451162374,0.740600059,95.35604952,9.273704818
SCURRY-Zone-1,48415,SSQ,0.825079903,45.79487472,10.11686564,0.819400807,61.42779457,10.46306718,0.816320903,73.41827165,10.73841398,0.812877946,89.54199794,11.15771288,0.810681287,101.8900498,11.52612096,0.808335741,114.8142948,11.95910651,0.802119068,147.9639597,13.07013346
SHACKELFORD-Zone-1,48417,SSQ,0.798830239,42.60415977,9.736858187,0.794193551,56.03681537,10.04838247,0.790610011,66.01446956,10.24945443,0.785428683,78.91618724,10.51422162,0.78124732,88.36674725,10.71602949,0.776354822,97.70530049,10.95395073,0.763605663,119.7479385,11.62219562
SHELBY-Zone-1,48419,SSQ,0.79888227,56.94352198,12.05745836,0.783541986,69.075397,11.97911162,0.773845636,77.98558343,11.97160293,0.761964092,89.31925802,12.01604518,0.752123049,96.79502584,11.95922622,0.743967326,105.1996006,12.17666823,0.738385907,135.3784559,14.40503634
SHERMAN-Zone-1,48421,SSQ,0.81816145,35.67227748,8.334776155,0.82919793,52.58079367,8.93480715,0.835861668,66.43019119,9.344929333,0.844118872,86.66161671,9.90659026,0.850416044,103.6879934,10.36488608,0.856917001,122.8996567,10.87714325,0.870909155,175.909694,12.11778509
SMITH-Zone-1,48423,SSQ,0.790596104,49.65182026,10.84355914,0.784591875,63.84996012,11.20949614,0.780753754,74.64601848,11.46806473,0.775934479,89.02514206,11.82296812,0.772213332,99.7900444,12.08111273,0.7685442,111.1227582,12.44114984,0.761940541,141.8796563,13.77807389
SOMERVELL-Zone-1,48425,SSQ,0.798355717,47.79348546,10.75005919,0.789964783,60.98016597,10.87402017,0.785199042,70.86640761,10.97194543,0.779705375,83.74569785,11.12352136,0.775964697,93.24500754,11.23191224,0.771987739,102.73291,11.40331587,0.762118915,125.6224947,12.09691277
STARR-Zone-1,48427,SSQ,0.8466185,63.66056458,13.06067623,0.833186127,83.11793331,13.06089692,0.826388989,98.82807925,13.202546,0.819513812,121.1140106,13.50264645,0.81454361,138.7330269,13.69723489,0.811369816,159.1658439,14.21021517,0.813965241,224.3426079,17.03840023
STEPHENS-Zone-1,48429,SSQ,0.796702947,42.59137492,9.613017752,0.792788742,56.23314511,9.934944247,0.789693224,66.3405228,10.1530919,0.78507387,79.32903437,10.45402297,0.781406351,88.79829187,10.71871362,0.776884136,98.08694351,10.9784417,0.76348953,119.3813865,11.36844044
STERLING-Zone-1,48431,SSQ,0.833946847,47.7440294,11.03166587,0.82092831,60.5437912,10.69182681,0.813245033,69.99800953,10.52596806,0.80404355,82.05447902,10.3675701,0.797362078,90.69495573,10.27141168,0.79035383,99.076467,10.19162973,0.774322085,118.7014714,10.06883693
STONEWALL-Zone-1,48433,SSQ,0.818749199,45.06751892,9.739152671,0.811421638,59.15298306,9.843373806,0.807317436,69.9619001,9.986551741,0.802669095,84.50259871,10.25440814,0.799671561,95.84549784,10.54899638,0.796308419,107.2451917,10.83421571,0.786653742,132.5863711,11.14825091
SUTTON-Zone-1,48435,SSQ,0.838348782,52.40327449,11.05931703,0.815361501,61.49564649,10.60208653,0.802325909,68.25381023,10.32185931,0.787494125,76.70912393,9.97454816,0.778231686,83.13739882,9.672126676,0.766767593,88.01055885,9.430521113,0.729902884,91.68742877,9.094444645
SUTTON-Zone-2,48435,SSQ,0.832943863,53.09173851,11.11280627,0.810700247,62.39320417,10.87895717,0.798247058,69.36212851,10.7398812,0.784265013,78.17504146,10.56799264,0.775504513,84.82417807,10.39561574,0.765079357,90.21839597,10.29008129,0.732752615,96.38311061,10.30539157
SUTTON-Zone-3,48435,SSQ,0.836826473,54.58948871,11.47482417,0.816263942,66.02336219,11.28063849,0.803981949,74.20486288,11.16990699,0.789207404,84.08875648,11.04332941,0.778769075,90.83869944,10.91030323,0.767103659,96.55836756,10.85383575,0.736434826,106.6015019,11.13348896
SWISHER-Zone-1,48437,SSQ,0.821481774,39.5593048,9.142101484,0.817618423,52.72242316,9.185907907,0.818033406,63.95791838,9.242705288,0.821380556,81.00421986,9.350420704,0.826491774,96.50506042,9.444218565,0.831069144,113.3994479,9.56483496,0.833132508,151.2765709,9.911492438
TARRANT-Zone-1,48439,SSQ,0.78424212,44.1285544,10.02004035,0.779256769,57.08702432,10.23769004,0.775919986,66.72279736,10.34321043,0.771493965,79.18107064,10.44205438,0.76783222,88.15584828,10.46005252,0.764269764,97.29100175,10.53780628,0.758260607,121.1438271,11.11411258
TAYLOR-Zone-1,48441,SSQ,0.811666581,46.23157384,10.15455652,0.804978723,60.01669702,10.24030269,0.799991704,70.05274663,10.32965363,0.792896796,82.66607685,10.49384523,0.787299642,91.68575594,10.66470259,0.780633277,100.1214044,10.83861576,0.762298247,117.7624417,11.09347694
TERRELL-Zone-1,48443,SSQ,0.857216707,49.42846823,10.76066002,0.843240195,65.09936017,10.69726275,0.833781641,76.16635745,10.69354274,0.821249937,89.57874894,10.74568626,0.811398574,98.53722581,10.81978597,0.800566008,106.800166,10.90772874,0.775211908,125.9446073,11.08798726
TERRELL-Zone-2,48443,SSQ,0.854094051,49.21367355,10.78606192,0.839782139,65.23847158,10.56381423,0.830130711,76.79232907,10.56257795,0.817526605,91.20615861,10.71005216,0.807438074,101.0320391,10.91928557,0.797039111,110.8909205,11.1995805,0.77682112,138.4323609,11.95864122
TERRELL-Zone-3,48443,SSQ,0.845888198,49.70623732,11.29033878,0.831927395,66.64794141,11.10074944,0.822159878,79.09975221,11.13076052,0.809580522,95.20064718,11.31665723,0.799136327,106.4599653,11.51065302,0.789179544,118.6142562,11.88099954,0.7753738,157.6753954,13.57974365
TERRY-Zone-1,48445,SSQ,0.811674435,37.3921751,9.11372291,0.815874763,54.79343682,9.219424593,0.817891085,68.44452227,9.29216636,0.819886567,87.35337534,9.390922299,0.821015837,102.2259392,9.463819538,0.822257105,118.3286608,9.559307835,0.825996357,161.8681699,9.865142912
THROCKMORTON-Zone-1,48447,SSQ,0.800136433,42.08348973,9.685666668,0.794273559,55.08656294,9.841975372,0.790201486,64.7856815,9.954212097,0.784691534,77.38867764,10.1133459,0.780648306,86.83482847,10.27556192,0.775558333,95.90645097,10.3992157,0.759876588,114.7964288,10.35414675
TITUS-Zone-1,48449,SSQ,0.780882127,48.02476451,10.3984533,0.771568933,58.24287482,10.34304184,0.766007664,65.82140401,10.30817209,0.759427255,75.51822108,10.26380329,0.754675661,82.49013522,10.19203204,0.749996837,89.3386922,10.19169904,0.74045596,105.8004146,10.61211712
TOM GREEN-Zone-1,48451,SSQ,0.826077478,47.49256622,10.59190615,0.813489488,59.79704891,10.25342039,0.804702051,68.35925952,10.0486594,0.792762331,78.45627354,9.805908403,0.783474882,85.1471111,9.605947239,0.772741766,90.70144395,9.436388863,0.744815579,100.3100955,9.216334575
TRAVIS-Zone-1,48453,SSQ,0.819430007,58.30889602,12.39655893,0.808353657,77.28684551,12.83165564,0.80302107,93.07556184,13.3382451,0.798038324,116.2280616,14.18110025,0.795624133,135.9785482,14.96546568,0.793458231,158.6533851,16.01202256,0.788104854,222.8080249,19.25140075
TRINITY-Zone-1,48455,SSQ,0.799226046,56.96325281,11.88808953,0.788647384,72.82599149,11.87667801,0.783049376,85.41648393,11.98985215,0.777194993,102.9876042,12.25106267,0.773025422,116.6828239,12.44652315,0.770028264,132.1789649,12.88612497,0.770016992,179.8511935,15.15450441
TYLER-Zone-1,48457,SSQ,0.799029831,60.45927512,12.02269978,0.778659983,72.54180496,11.83013585,0.765399467,80.79185236,11.59491039,0.748768079,90.40684076,11.19914635,0.735639649,96.14523983,10.77527219,0.72275123,101.5874857,10.40535984,0.699789915,117.8870768,10.21306498
UPSHUR-Zone-1,48459,SSQ,0.792957833,50.79598116,10.96454251,0.780887201,61.70548463,11.04812457,0.773556073,69.79026143,11.09142498,0.764781538,80.14777414,11.13265242,0.758483849,87.59345782,11.1154856,0.751931015,94.89822569,11.16772059,0.736855331,112.4563671,11.73285435
UPTON-Zone-1,48461,SSQ,0.869836717,54.15968279,11.88165981,0.847285262,64.83559994,10.95490779,0.833562382,72.0440197,10.41669796,0.816393283,79.87218817,9.778936871,0.803373246,84.31883502,9.28845581,0.789755777,87.67809055,8.831045064,0.759738317,94.22908648,8.069554735
UVALDE-Zone-1,48463,SSQ,0.840606782,65.27287934,13.02651551,0.826298837,86.03064261,13.47619952,0.816111815,101.0649756,13.82179432,0.802966073,120.3074725,14.35536541,0.792492284,134.055524,14.75807287,0.781730376,147.8295321,15.42627718,0.761691704,184.6027217,18.30440275
